Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2070434.1,TAV2_LOCUS22076,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2079501.1,TAV2_LOCUS23000,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2053020.1,TAV2_LOCUS9022,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2071067.1,TAV2_LOCUS18741,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2052570.1,TAV2_LOCUS9345,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2035844.1,TAV2_LOCUS4072,"Ulp1 protease family, C-terminal catalytic domain","Ulp1 protease family, C-terminal catalytic domain",GO:0006508|GO:0008234,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2046321.1,TAV2_LOCUS6919,"Ulp1 protease family, C-terminal catalytic domain","Ulp1 protease family, C-terminal catalytic domain",GO:0006508|GO:0008234,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2035615.1,TAV2_LOCUS45,"Ulp1 protease family, C-terminal catalytic domain","Ulp1 protease family, C-terminal catalytic domain",GO:0006508|GO:0008234,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2079473.1,TAV2_LOCUS24535,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2046909.1,TAV2_LOCUS5822,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2080194.1,TAV2_LOCUS26061,F-box domain,F-box domain,GO:0005515,AT1G60410,"F-box	family	protein	","842336	"
CAH2070163.1,TAV2_LOCUS20740,FBD,FBD domain,-,AT5G53592,"FBD-like	domain	family	protein	","6240403	"
CAH2070162.1,TAV2_LOCUS20741,9598neu4hmm,FBD domain,-,AT5G53592,"FBD-like	domain	family	protein	","6240403	"
CAH2070161.1,TAV2_LOCUS22195,9598neu4hmm,FBD domain,-,AT5G53592,"FBD-like	domain	family	protein	","6240403	"
CAH2070160.1,TAV2_LOCUS22194,FBD,FBD domain,-,AT5G53592,"FBD-like	domain	family	protein	","6240403	"
CAH2070080.1,TAV2_LOCUS21518,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070067.1,TAV2_LOCUS21430,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070075.1,TAV2_LOCUS19083,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070081.1,TAV2_LOCUS21393,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2035012.1,TAV2_LOCUS511,F-box domain,F-box domain,GO:0005515,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070073.1,TAV2_LOCUS19081,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070074.1,TAV2_LOCUS19084,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070079.1,TAV2_LOCUS22367,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070071.1,TAV2_LOCUS19085,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070077.1,TAV2_LOCUS22296,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070072.1,TAV2_LOCUS19082,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2069936.1,TAV2_LOCUS19820,-,-,0,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2069987.1,TAV2_LOCUS20367,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070084.1,TAV2_LOCUS21521,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070069.1,TAV2_LOCUS19655,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2035442.1,TAV2_LOCUS945,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2035440.1,TAV2_LOCUS946,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2035445.1,TAV2_LOCUS948,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070085.1,TAV2_LOCUS22369,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070087.1,TAV2_LOCUS20056,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2051781.1,TAV2_LOCUS9982,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2072147.1,TAV2_LOCUS20123,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2072149.1,TAV2_LOCUS20125,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2065425.1,TAV2_LOCUS15546,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2072154.1,TAV2_LOCUS20116,Ribonuclease Inhibitor,Leucine-rich repeat domain superfamily,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2072148.1,TAV2_LOCUS20124,9598neu4hmm,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2070070.1,TAV2_LOCUS19086,FBD,FBD domain,-,AT5G53637,"LOW	protein:	F-box/FBD/LRR-like	protein	","835445	"
CAH2078196.1,TAV2_LOCUS23354,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2046613.1,TAV2_LOCUS5817,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2060212.1,TAV2_LOCUS13808,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2052669.1,TAV2_LOCUS10459,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070503.1,TAV2_LOCUS18823,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070661.1,TAV2_LOCUS18848,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2051785.1,TAV2_LOCUS8846,Domain of unknown function (DUF4283),Domain of unknown function DUF4283,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070659.1,TAV2_LOCUS18847,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2060939.1,TAV2_LOCUS14278,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2061060.1,TAV2_LOCUS13531,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2051761.1,TAV2_LOCUS11098,Zinc knuckle,Zinc knuckle CX2CX4HX4C,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2065521.1,TAV2_LOCUS15703,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2065518.1,TAV2_LOCUS17861,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070196.1,TAV2_LOCUS20101,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2065431.1,TAV2_LOCUS17638,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2060970.1,TAV2_LOCUS12452,Zinc knuckle,Zinc knuckle CX2CX4HX4C,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070649.1,TAV2_LOCUS21323,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2065432.1,TAV2_LOCUS17637,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2065430.1,TAV2_LOCUS17636,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2065516.1,TAV2_LOCUS17860,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2047057.1,TAV2_LOCUS6484,PROPROTEIN CONVERTASE SUBTILISIN/KEXIN,Subtilisin-like protease,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2079314.1,TAV2_LOCUS23455,#N/A,#N/A,#N/A,AT5G40595,"uncharacterized	protein	","834058	"
CAH2079450.1,TAV2_LOCUS22866,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2061009.1,TAV2_LOCUS14228,consensus disorder prediction,-,0,AT5G40595,"uncharacterized	protein	","834058	"
CAH2051698.1,TAV2_LOCUS9504,Zinc knuckle,Zinc knuckle CX2CX4HX4C,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070433.1,TAV2_LOCUS21963,Zinc knuckle,Zinc knuckle CX2CX4HX4C,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2079376.1,TAV2_LOCUS24672,Domain of unknown function (DUF4283),Domain of unknown function DUF4283,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2070119.1,TAV2_LOCUS20220,Domain of unknown function (DUF4283),Domain of unknown function DUF4283,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2051942.1,TAV2_LOCUS11179,#N/A,#N/A,#N/A,AT5G40595,"uncharacterized	protein	","834058	"
CAH2052294.1,TAV2_LOCUS10049,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2035647.1,TAV2_LOCUS1122,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2052594.1,TAV2_LOCUS8975,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 1.8-LIKE,Uncharacterized protein At4g02000-like,-,AT5G40595,"uncharacterized	protein	","834058	"
CAH2078386.1,TAV2_LOCUS25570,LbH_LpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD,GO:0009245|GO:0016410,AT4G21230,"cysteine-rich	RLK	(RECEPTOR-like	protein	kinase)	27	","827872	"
